Section,Company/Product,Category,Key Metrics,Status,How It Works,Relevance to Personal Data as Agent Context,Source
2. Agent Memory Infrastructure,Supermemory,AI memory extraction,"$2.6M seed (Oct 2025); backed by Google executives",Live,"Extracts structured memories from unstructured data for application context","Early-stage company attempting to bridge unstructured personal data and structured agent memory; directly relevant to the personal-data-as-context hypothesis",https://techcrunch.com/2025/10/06/a-19-year-old-nabs-backing-from-google-execs-for-his-ai-memory-startup-supermemory/
2. Agent Memory Infrastructure,Memories.ai,Visual memory model,"$8M seed; founded by ex-Meta Reality Labs researchers",Live,"Building a Large Visual Memory Model (LVMM) for long-term visual memory; Samsung Next participation","Visual personal data (photos; screenshots) as agent context; hardware company backing suggests wearable integration path",https://wellows.com/blog/ai-startups/
3. Personal Data + AI Products,ChatGPT Memory + Connectors,LLM with personal data,"800M+ weekly active users; $13B ARR; 5M paying business users",Live,"Persistent memory across conversations; connectors to Gmail; Google Drive; GitHub; Outlook; Teams; MCP-based partner connectors (Stripe; Amplitude; Monday.com); full chat history reference since April 2025","Largest-scale personal data AI integration; single-platform (OpenAI ecosystem); connectors are read-only for most sources; actions beyond reading require user confirmation",https://openai.com/index/memory-and-new-controls-for-chatgpt/
3. Personal Data + AI Products,Google Personal Intelligence,LLM with personal data,"Rolling out to free Gemini users in US (Mar 2026)",Live,"Connects Gemini to Gmail; Photos; YouTube history; Search history; enables cross-referencing private emails with real-time market data; built on Gemini 3 Pro and Flash","Largest-scale cross-Google-service personal data integration; limited to Google platforms; demonstrates feasibility of multi-source personal context for AI",https://blog.google/innovation-and-ai/products/gemini-app/personal-intelligence/
3. Personal Data + AI Products,Apple Intelligence,On-device personal AI,"~3B parameter model; 2.2B+ active devices; repeatedly delayed",Announced,"On-device model on Apple Silicon; intended to give Siri access to emails; messages; photos; personal context features delayed from 2025 to spring 2026 and possibly beyond","Even Apple with 2.2B devices and full OS-level data access has not shipped reliable personal context AI; Craig Federighi: 'no one is doing it really well right now'",https://www.cnbc.com/2025/03/07/apple-delays-siri-ai-improvements-to-2026.html
3. Personal Data + AI Products,Samsung Personal Data Engine,On-device knowledge graph,"Galaxy S25+ series; powered by RDFox; Knox Vault encryption",Live,"On-device knowledge graph using RDFox; drives Now Brief daily summary and Smart Gallery search; secured by Knox Vault and KEEP encryption; hardware-based Privacy Display on S26 Ultra","On-device personal data processing for AI context; limited to Samsung ecosystem data; demonstrates knowledge graph approach to personal data for AI",https://www.computerweekly.com/news/366618319/Samsung-unpacks-Galaxy-AIs-personal-data-engine
3. Personal Data + AI Products,Glean,Enterprise knowledge AI,"$7.2B valuation; $100M+ ARR in <3 years",Live,"Builds personalized knowledge graph per employee from 100+ workplace data sources; personal graph tracks projects; collaborators; work style; agents summarize weekly work or prepare reviews","Enterprise-scoped personal context; per-employee knowledge graph is analogous to cross-platform personal data but limited to workplace sources",https://www.glean.com/press/glean-achieves-100m-arr-in-three-years-delivering-true-ai-roi-to-the-enterprise
3. Personal Data + AI Products,Otter.ai,Meeting AI with personal context,"$100M ARR (Mar 2025); ~$70M total raised",Live,"Voice AI meeting agent participates as voice-activated attendee; answers questions using real-time transcript + company meeting history; vocabulary learning and preference personalization","Meeting context as personal data for AI; limited to audio/meeting domain; demonstrates personalization from accumulated user-specific data",https://otter.ai/blog/otter-ai-caps-transformational-2025-with-100m-arr-milestone-industry-first-ai-meeting-agents-and-global-enterprise-expansion
3. Personal Data + AI Products,Screenpipe,Open-source screen capture + AI,"17.2K GitHub stars; $3.5K MRR; 202 subscriptions",Live,"Continuously captures screen and audio locally; local Whisper for speech-to-text; AI-powered search and recall; works on macOS; Windows; Linux","Continuous personal data capture for AI context; local-first architecture; has not reached product-market fit per founders; major companies testing",https://screenpi.pe/
4. Data Portability Infrastructure,Data Transfer Initiative (DTI),Nonprofit data portability,"Apple; Google; Meta as founding partners",Live,"Independent nonprofit spun from Google Data Transfer Project in 2022; builds open-source data portability tools; Apple-Google photo/video transfer; EU DMA compliance","Direct infrastructure for moving personal data between platforms; currently focused on platform-to-platform transfer rather than platform-to-AI",https://dtinit.org/blog/2024/07/10/DTI-members-new-photo-video-tool
4. Data Portability Infrastructure,Vana Protocol,L1 blockchain for personal data,"Mainnet Dec 2024; 12M+ data points onboarded; VANA trading $8-15",Live,"EVM-compatible Layer 1 for personal data sovereignty; DataDAOs for collective data management; VRC-20 token standard for data-backed digital assets","Directly enabling user-owned personal data portability; DataDAO structure enables consent-managed data access for AI agents",https://www.vana.org/
4. Data Portability Infrastructure,Solid Project (Inrupt),Personal data pods,"Tim Berners-Lee; launched 2016; Inrupt 2018",Live,"Standards-based personal data pods with time-bound access grants; apps and AI agents request specific data access; user controls all permissions","Architecturally aligned with personal data as agent context; time-bound grants match agent session model; developer community remains small",https://en.wikipedia.org/wiki/Solid_(web_decentralization_project)
4. Data Portability Infrastructure,MCP (Model Context Protocol),Agent-to-data protocol,"10K+ servers; 97M+ monthly SDK downloads; Linux Foundation governance",Live,"Open protocol for connecting AI models to external data sources and tools; adopted by ChatGPT; Cursor; Gemini; Microsoft Copilot; VS Code; 2026 roadmap includes triggers/events and security hardening","Primary protocol through which personal data could reach coding agents; 5800+ servers but no data on how many handle personal vs. enterprise data",https://www.anthropic.com/news/donating-the-model-context-protocol-and-establishing-of-the-agentic-ai-foundation
4. Data Portability Infrastructure,Plaid,Financial data aggregation,"$800M+ estimated annual revenue (2025); 220+ new products in 2025",Live,"Financial data connectivity across 12K+ institutions; AI-powered auto-repair enabled 2M+ successful logins; LendScore credit risk from real-time cash flow","Demonstrates the economics of personal data connectivity at scale; financial domain only; AI-powered enrichment on aggregated personal data is a proven model",https://sacra.com/c/plaid/
4. Data Portability Infrastructure,Skyflow,Privacy vault infrastructure,"$100M total raised; ~1B records; 2B+ API calls/quarter",Live,"Tokenized data vaults; LLM Privacy Vault detects sensitive data and replaces with deterministic tokens before sending to AI models","Privacy infrastructure layer between personal data and AI models; addresses the trust gap by making data access auditable and tokenized",https://www.skyflow.com/post/generative-ai-data-privacy-skyflow-llm-privacy-vault
5. Failed Products,Humane AI Pin,AI wearable,"$230M raised; ~10K units sold; HP acquired assets for $116M",Shut down,"Wearable with camera; projector; LLM access; intended to replace smartphones; returns outpaced sales; charging case recalled for battery fires; all devices bricked Feb 28 2025","Hardware form factor failed; personal context features were dependent on cloud services that were shut down; demonstrates risk of proprietary personal data storage",https://techcrunch.com/2025/02/18/humanes-ai-pin-is-dead-as-hp-buys-startups-assets-for-116m/
5. Failed Products,Rabbit R1,AI hardware device,"$64.7M raised; 130K units sold; 5K daily active users (5% retention)",Live (minimal),"Large Action Model intended to replace app-based interactions; supported only 6 apps; entire interface discovered to be a single Android app; CEO admitted premature launch","95% user abandonment; limited app integrations prevented meaningful personal data access; reliability failures in basic tasks preceded any personal context features",https://9to5google.com/2024/09/26/rabbit-5000-people-use-the-r1-daily/
5. Failed Products,Microsoft Cortana,Voice assistant,"Peak 145M MAU; <2% voice assistant market share; deprecated Aug 2023",Shut down,"Integrated into Windows; competed with Siri/Alexa/Google Assistant; only 10% of Windows 10 users regularly engaged by 2023; replaced by Copilot","Had deep OS-level personal data access (calendar; email; files); personal context features did not drive sustained engagement; replaced by task-focused Copilot",https://techcrunch.com/2023/08/04/microsoft-kills-cortana-in-windows-as-it-focuses-on-next-gen-ai/
5. Failed Products,Facebook M,Human-assisted AI assistant,"70%+ requests required human operators; ~10K test users; shut down Jan 2018",Shut down,"AI assistant inside Messenger for arbitrary tasks (restaurant reservations; shopping); launched Aug 2015 to ~2K users; human operators handled majority of requests","HITL-dependent architecture could not scale economically; personal context (Messenger history) was insufficient to automate arbitrary tasks without human fallback",https://techcrunch.com/2018/01/08/facebook-is-shutting-down-its-standalone-personal-assistant-m/
5. Failed Products,Inflection AI (Pi),Personal AI chatbot,"$1.525B raised; 1M DAU; 6M MAU; acqui-hired by Microsoft for $650M",Acquired,"Empathetic conversational AI focused on personal connection rather than task completion; strong engagement but no sustainable business model","Strong user engagement with personal AI did not translate to revenue; personal context (conversation history) created engagement but not economic value",https://www.eesel.ai/blog/inflection-ai
5. Failed Products,Limitless (Rewind AI),Screen/audio capture AI,"$33M+ raised; $350M valuation on $707K ARR; acquired by Meta Dec 2025",Acquired,"Desktop screen recording evolved to wearable pendant ($99); continuous personal data capture; acquired by Meta for Reality Labs (Ray-Ban smart glasses)","Most ambitious personal data capture product; 495x revenue multiple reflected investor belief in personal data value; could not find PMF independently; acquired as feature not product",https://techcrunch.com/2025/12/05/meta-acquires-ai-device-startup-limitless/
5. Failed Products,ChatGPT Pulse,Proactive daily briefing,"Launched Sep 2025; shelved Dec 2025 after ~3 months",Shut down,"Proactive daily briefing using user memory and chat history; delivered personalized morning updates without prompting; shelved when CEO issued 'Code Red' to refocus on core ChatGPT","Directly tested personal-data-driven proactive AI; shelved after 3 months; no usage metrics published; deprioritized in favor of core product improvements",https://techcrunch.com/2025/09/25/openai-launches-chatgpt-pulse-to-proactively-write-you-morning-briefs/
5. Failed Products,Builder.ai (Natasha),AI app builder,"$445M raised; $1.2B valuation; bankrupt May 2025",Shut down,"Claimed AI built apps; investigation revealed ~700 human engineers doing the work; claimed $220M revenue; audit found ~$50M","Extreme case of HITL masquerading as autonomous AI; demonstrates that personal context alone does not enable autonomous software creation",https://techstartups.com/2025/05/24/builder-ai-a-microsoft-backed-ai-startup-once-valued-at-1-2-billion-files-for-bankruptcy-is-ai-becoming-another-com-bubble/
6. Proactive/Scheduled Agent Products,OpenClaw,Open-source proactive agent,"264K GitHub stars (Mar 2026); surpassed React as most-starred software project",Live,"Self-hosted AI agent with cron-scheduled daily briefings; pulls from Gmail; Calendar; GitHub; RSS; Todoist; Linear; Stripe; silently skips missing integrations; three schedule types: at; every; cron","Closest existing product to personal-data-driven proactive agents; aggregates cross-platform data for daily briefings; does not generate coding agent tasks from personal data",https://github.com/openclaw/openclaw
6. Proactive/Scheduled Agent Products,NanoClaw,Lightweight proactive agent,"10.5K GitHub stars; ~3900 LOC across 15 files",Live,"Container-isolated alternative to OpenClaw built on Anthropic Agents SDK; connects to WhatsApp; Telegram; Slack; Discord; Gmail; scheduled jobs and daily briefings","Security-focused (Linux container isolation); auditable codebase; same daily-briefing pattern as OpenClaw in smaller package",https://github.com/qwibitai/nanoclaw
6. Proactive/Scheduled Agent Products,ChatGPT Scheduled Tasks,Platform scheduled agent,"Limit of 10 active tasks; available to Plus/Pro/Teams",Live,"Recurring prompts at predetermined times (daily; weekly; monthly); delivers results via push notification or email; runs independently of user being online","Platform-native scheduled execution with access to ChatGPT memory and connectors; limited to 10 concurrent tasks; still in beta as of 2026",https://help.openai.com/en/articles/10291617-scheduled-tasks-in-chatgpt
6. Proactive/Scheduled Agent Products,Gemini Scheduled Actions,Platform scheduled agent,"Available to AI Pro and Ultra subscribers; limit of 10 active",Live,"Scheduled recurring AI tasks; Goal Scheduled Actions (Feb 2026) add proactive monitoring where AI reviews previous outputs and adjusts next actions","Goal variant introduces feedback loops where the agent adapts based on prior results; closest platform feature to autonomous goal-directed personal agents",https://blog.google/products-and-platforms/products/gemini/scheduled-actions-gemini-app/
6. Proactive/Scheduled Agent Products,Google CC (Your Day Ahead),Daily briefing agent,"Launched Dec 2025; US and Canada; early access",Live,"AI agent sends daily morning briefing email by connecting to Gmail; Google Calendar; Google Drive without requiring a prompt; users steer by replying to the email","Google-ecosystem daily briefing; limited to Google services; demonstrates platform interest in proactive personal data agents",https://blog.google/technology/google-labs/cc-ai-agent/
6. Proactive/Scheduled Agent Products,Dependabot,Automated dependency updates,"846K+ repos configured; 137% YoY adoption growth",Live,"Creates PRs for outdated or vulnerable dependencies without human prompting; supports 30+ ecosystems; free for all GitHub repos; 75% reduction in remediation time","Proactive agent pattern in production at scale; no personal data required; demonstrates that scheduled autonomous code changes are accepted when scoped narrowly",https://docs.renovatebot.com/bot-comparison/
6. Proactive/Scheduled Agent Products,Renovate (Mend.io),Automated dependency updates,"90+ package manager support; cross-platform",Live,"Cross-platform dependency update tool creating PRs with grouping; scheduling; and auto-merge policies; claims ~90% time savings for dependency updates","Broader platform support than Dependabot; demonstrates that proactive code maintenance agents succeed when task scope is well-defined and consequences are bounded",https://github.com/renovatebot/renovate
